accident_index,latitude,longitude,accident_severity,number_of_vehicles,number_of_casualties,date,day_of_week,time,road_type,speed_limit,junction_detail,light_conditions,weather_conditions,road_surface_conditions,urban_or_rural_area,first_road_class,police_force
DEMO100050,55.561372299573875,-2.8862174412681187,3,1,1,01/06/2025,7,02:12,7,30.0,2,1,2.0,4.0,2,2,43
DEMO100051,53.5347433167042,-2.2206205932077636,3,2,2,21/02/2025,5,20:31,9,40.0,2,7,,1.0,2,1,35
DEMO100052,51.56740594065908,-2.598653103319491,3,2,2,23/05/2025,5,18:12,7,50.0,3,1,1.0,6.0,2,2,31
DEMO100053,53.343260082907655,-3.20749226163717,2,4,5,08/04/2025,2,03:45,9,50.0,7,1,2.0,1.0,1,1,31
DEMO100054,53.123369233446795,-3.0496574290496996,2,2,3,07/11/2025,5,17:01,9,60.0,7,7,7.0,1.0,1,2,39
DEMO100055,51.40729870433787,0.09701876632294013,2,3,3,10/11/2025,1,02:49,3,40.0,2,1,2.0,1.0,1,2,8
DEMO100056,53.02195846570656,-1.100563949359526,1,2,4,02/01/2025,4,13:55,12,30.0,3,1,1.0,1.0,2,5,14
DEMO100057,52.519325629762065,-1.7205695193555708,2,2,4,08/08/2025,5,22:01,7,30.0,2,1,7.0,1.0,1,1,21
DEMO100058,55.98515367461915,-4.259951886130614,3,4,5,22/08/2025,5,04:37,3,20.0,7,1,1.0,3.0,1,6,7
DEMO100059,55.573066683686534,-4.230671249500155,3,3,3,18/05/2025,7,04:04,3,30.0,1,7,,2.0,1,5,23
DEMO100060,54.524399438764746,-6.324119254617006,3,2,3,21/06/2025,6,10:21,6,60.0,3,1,1.0,2.0,2,6,7
DEMO100061,,-4.157883405284829,3,3,4,16/10/2025,4,08:20,9,40.0,9,5,4.0,1.0,1,1,13
DEMO100062,51.568466758234784,-2.6346853485604136,3,1,2,18/05/2025,7,01:31,9,40.0,9,1,4.0,3.0,1,5,44
DEMO100063,54.48869207909215,-5.853942708954089,3,2,2,24/01/2025,5,10:55,3,30.0,6,1,5.0,1.0,1,1,25
DEMO100064,51.55078201358973,-3.1041022642841862,3,3,3,16/05/2025,5,06:27,7,40.0,2,5,1.0,2.0,1,5,17
DEMO100065,53.62991133628201,-0.9411105496461794,3,6,7,03/04/2025,4,02:23,1,30.0,7,5,2.0,2.0,2,5,35
DEMO100066,51.52065924656306,-3.1614560214402148,3,1,2,20/05/2025,2,06:05,3,30.0,6,4,1.0,1.0,2,4,19
DEMO100067,51.401720217066334,-2.477085175909321,3,2,2,25/03/2025,2,00:53,9,40.0,0,1,8.0,1.0,1,2,22
DEMO100068,51.44412989447619,-0.034851514003929496,3,3,3,24/02/2025,1,21:18,3,20.0,9,1,1.0,4.0,1,2,1
DEMO100069,53.84276523982049,-3.0674429875118965,3,3,3,26/12/2025,5,23:27,3,30.0,2,5,3.0,1.0,1,6,18
DEMO100070,55.893380122582734,-3.0870950121289047,3,1,1,17/02/2025,1,08:05,1,20.0,3,4,4.0,2.0,1,3,41
DEMO100071,53.40469478208987,-1.9576765370275493,3,3,5,15/09/2025,1,21:17,1,30.0,6,1,1.0,4.0,1,2,33
DEMO100072,53.15196488450961,-2.948805962738347,3,1,1,19/09/2025,5,11:33,2,30.0,9,1,1.0,1.0,2,5,43
DEMO100073,,-1.6844095062403086,1,1,3,14/08/2025,4,21:54,2,50.0,8,6,1.0,1.0,1,6,35
DEMO100074,55.76635182668103,-4.067231012498864,1,1,1,29/11/2025,6,04:19,6,30.0,1,1,2.0,1.0,1,2,44
DEMO100075,53.40263365682139,-2.8220639411722312,2,1,1,02/01/2025,4,06:33,9,20.0,8,5,9.0,2.0,1,3,2
DEMO100076,53.6488282671084,-1.1048876464723567,3,2,3,21/04/2025,1,17:52,2,30.0,9,5,2.0,1.0,1,3,24
DEMO100077,53.55563253723284,-2.1579664135648775,3,3,3,09/03/2025,7,05:21,9,30.0,8,1,9.0,1.0,1,1,19
DEMO100078,53.12261854823869,-1.1765408736717504,1,1,1,30/07/2025,3,19:17,7,60.0,1,1,1.0,1.0,1,4,28
DEMO100079,56.09975545488274,-4.2620121209338535,3,2,3,20/08/2025,3,10:02,3,60.0,7,4,1.0,6.0,1,6,18
DEMO100080,54.57631099098941,-5.832036848643892,3,2,4,24/11/2025,1,09:54,3,50.0,8,4,7.0,3.0,2,2,43
DEMO100081,53.301580093311145,-3.316128010140988,2,2,4,19/05/2025,1,10:06,3,40.0,1,7,6.0,1.0,1,6,35
DEMO100082,52.3676583066671,-1.554532750190329,3,2,2,28/03/2025,5,19:12,9,50.0,7,4,,5.0,2,3,10
DEMO100083,55.956477278255335,-3.24682316448042,3,1,1,04/12/2025,4,00:08,9,30.0,8,1,4.0,2.0,1,3,43
DEMO100084,53.426754981954794,-1.4921803714409128,2,4,5,03/09/2025,3,18:42,3,50.0,7,1,6.0,4.0,1,1,10
DEMO100085,55.96217152254967,-4.564570239230207,2,5,7,07/10/2025,2,18:21,1,30.0,1,5,5.0,1.0,2,2,20
DEMO100086,52.33376932439728,-1.86412813390571,3,2,2,12/06/2025,4,19:42,3,30.0,2,1,3.0,1.0,1,4,16
DEMO100087,53.82499291303573,-1.8744272440595815,2,3,5,13/06/2025,5,23:36,7,60.0,7,6,1.0,3.0,2,4,1
DEMO100088,55.76983270732275,-3.5920954908142555,2,1,1,23/05/2025,5,18:00,2,60.0,1,1,1.0,1.0,1,3,22
DEMO100089,55.92999066477211,-3.36353884814621,3,2,2,01/10/2025,3,12:18,6,30.0,2,1,3.0,1.0,2,5,18
DEMO100090,53.65961140260816,-3.0507730170096137,3,3,7,18/03/2025,2,11:00,7,70.0,3,1,2.0,2.0,1,1,12
DEMO100091,55.91225624804058,-3.394127269937309,3,2,2,23/12/2025,2,09:03,7,40.0,0,7,1.0,1.0,1,3,29
DEMO100092,51.32238801486931,-3.110501260493554,2,2,2,06/03/2025,4,19:28,2,40.0,6,5,1.0,1.0,1,2,25
DEMO100093,51.51759153927698,-2.29360597086772,3,3,5,18/06/2025,3,09:15,6,40.0,9,4,,1.0,2,3,27
DEMO100094,51.64260316912151,-3.1267275090068583,3,3,4,25/04/2025,5,13:05,6,60.0,3,1,2.0,1.0,1,5,35
DEMO100095,53.662416374921946,-2.0810568547738217,3,3,3,23/08/2025,6,02:24,9,70.0,2,7,1.0,1.0,1,3,22
DEMO100096,53.236898285287744,-2.2470243557978558,3,3,4,06/09/2025,6,07:27,6,50.0,2,7,1.0,1.0,2,1,38
DEMO100097,55.71804315393385,-4.112418387687595,3,1,2,02/12/2025,2,06:59,3,30.0,6,1,1.0,1.0,1,3,34
DEMO100098,53.30195588431213,-1.5589600204720584,3,1,3,16/10/2025,4,10:39,2,40.0,3,6,6.0,2.0,1,1,8
DEMO100099,52.759465126005104,-1.8146735479766418,3,2,3,01/04/2025,2,12:23,7,30.0,9,7,3.0,1.0,1,6,23
DEMO100100,55.70057315871181,-3.1247339226826742,2,3,3,17/03/2025,1,17:28,7,50.0,7,1,1.0,1.0,1,3,40
DEMO100101,53.17584846854014,-2.5065371244034367,3,2,2,20/11/2025,4,10:05,9,70.0,3,1,2.0,1.0,2,1,33
DEMO100102,56.002244258756534,-2.8992143901076206,2,3,3,28/06/2025,6,03:23,7,60.0,3,4,2.0,1.0,1,1,26
DEMO100103,51.379277629339455,-0.19728696929932643,3,2,2,05/02/2025,3,13:34,9,30.0,7,1,3.0,1.0,1,1,2
DEMO100104,55.77484358701157,-3.2672245319433224,1,2,4,29/10/2025,3,01:01,9,,2,6,3.0,1.0,1,4,28
DEMO100105,56.070248860418324,-3.0798184637333383,3,3,5,25/08/2025,1,20:55,3,30.0,3,4,3.0,1.0,1,5,5
DEMO100106,55.969713666307534,-3.5735181921355608,3,2,2,10/01/2025,5,18:30,3,30.0,2,1,4.0,1.0,2,4,3
DEMO100107,53.56206021242427,-1.1662609230513012,3,1,2,13/10/2025,1,05:47,12,70.0,6,1,1.0,1.0,1,5,21
DEMO100108,53.540614988528965,-3.2273726898652986,3,4,4,10/08/2025,7,06:16,9,30.0,7,5,1.0,1.0,2,3,38
DEMO100109,55.64672384939395,-3.8175877777832716,3,3,3,13/08/2025,3,00:50,12,60.0,8,1,1.0,2.0,1,2,39
DEMO100110,53.49853409325538,-1.278745035178697,3,3,4,12/11/2025,3,08:22,6,30.0,2,1,2.0,2.0,1,1,34
DEMO100111,56.154740456529375,-3.430800382318043,2,1,1,30/06/2025,1,00:55,12,50.0,9,1,2.0,4.0,1,4,44
DEMO100112,52.93242704193406,-1.078112091175667,3,3,3,18/06/2025,3,22:31,2,70.0,7,6,4.0,1.0,1,6,31
DEMO100113,53.95105762805433,-3.221041516721094,3,4,4,14/08/2025,4,03:38,7,40.0,8,1,1.0,1.0,1,2,28
DEMO100114,53.12886062226633,-1.4205181523013388,3,3,5,14/03/2025,5,15:12,6,40.0,7,1,3.0,1.0,1,6,30
DEMO100115,,-1.7575886557718734,3,2,3,25/02/2025,2,13:59,1,20.0,8,6,1.0,1.0,1,1,34
DEMO100116,51.33742395081955,0.024430319320450644,1,2,3,04/11/2025,2,05:11,3,30.0,8,1,1.0,1.0,1,2,17
DEMO100117,52.47111725682533,-1.9999618085277817,2,5,6,20/03/2025,4,19:01,3,,0,5,4.0,1.0,1,6,17
DEMO100118,53.62636290386503,-2.0541935288070396,2,3,4,04/07/2025,5,02:26,1,30.0,3,1,1.0,1.0,1,1,37
DEMO100119,52.47104847558621,-1.8362806540631766,2,2,3,09/04/2025,3,21:50,12,40.0,9,6,1.0,2.0,1,2,35
DEMO100120,53.41848217940914,-3.2837757238235437,3,3,4,26/03/2025,3,17:55,12,30.0,3,1,1.0,2.0,1,6,16
DEMO100121,55.90802059218339,-4.049951780443749,2,1,1,07/08/2025,4,15:51,9,30.0,8,1,4.0,1.0,1,4,37
DEMO100122,53.25078943564721,-1.3454792617597244,3,4,4,20/10/2025,1,21:33,12,60.0,9,1,1.0,1.0,2,6,5
DEMO100123,53.24937518379282,-3.106700328441882,3,2,3,11/06/2025,3,09:55,9,60.0,2,7,8.0,1.0,2,2,19
DEMO100124,51.448610392893045,-2.94506818927293,2,4,6,20/02/2025,4,06:29,12,70.0,9,6,9.0,1.0,1,4,16
DEMO100125,52.88018322025846,-1.223011725199723,3,3,4,31/03/2025,1,03:28,3,30.0,3,1,5.0,1.0,1,1,14
DEMO100126,51.3494449519962,-0.31647098484666625,3,2,3,02/03/2025,7,22:10,3,30.0,0,1,1.0,1.0,1,3,26
DEMO100127,55.93048224875476,-3.234066969723001,3,1,2,19/11/2025,3,09:47,9,30.0,8,1,4.0,1.0,2,6,36
DEMO100128,52.71973429028706,-1.2468278019519443,3,2,6,27/04/2025,7,19:18,6,70.0,8,1,1.0,5.0,1,1,10
DEMO100129,53.51833329811499,-1.826256039989369,3,4,5,17/05/2025,6,07:11,9,40.0,3,1,6.0,1.0,1,2,1
DEMO100130,53.060933398918145,-1.7908639404987539,1,4,5,26/01/2025,7,22:22,7,70.0,1,7,2.0,1.0,1,4,30
DEMO100131,53.077863416192855,-0.7628566882831933,3,6,7,12/06/2025,4,20:36,3,60.0,7,1,1.0,1.0,2,6,27
DEMO100132,52.335244420981056,-1.6186524410011598,1,2,2,30/11/2025,7,07:16,3,30.0,8,7,1.0,1.0,2,3,24
DEMO100133,52.781038371743804,-0.8033568405862328,2,3,4,30/05/2025,5,11:21,9,30.0,8,1,5.0,1.0,1,2,36
DEMO100134,56.191129877302714,-2.9718303929009466,3,2,5,26/08/2025,2,19:19,6,30.0,2,6,6.0,5.0,1,4,37
DEMO100135,53.76557666228696,-1.648429211819421,2,4,4,08/03/2025,6,05:35,3,40.0,2,1,,1.0,1,1,43
DEMO100136,53.48372132534791,-1.512338513982543,2,2,2,22/02/2025,6,00:42,7,70.0,7,1,2.0,,1,5,33
DEMO100137,51.29995046009309,-0.27564557024579067,2,3,4,25/09/2025,4,06:40,3,30.0,1,6,4.0,6.0,1,6,29
DEMO100138,51.40304844019624,-2.458028390470771,2,1,2,24/01/2025,5,14:08,6,60.0,8,1,5.0,1.0,2,6,15
DEMO100139,53.62292481073624,-2.878094085143832,2,3,3,13/06/2025,5,03:20,7,30.0,1,7,5.0,1.0,1,4,10
DEMO100140,54.621357972333946,-6.012385792524879,2,3,3,26/04/2025,6,08:38,6,50.0,6,6,1.0,1.0,1,6,33
DEMO100141,53.435837286455836,-2.1374478684093905,3,2,3,06/01/2025,1,22:12,12,30.0,9,7,3.0,1.0,2,4,38
DEMO100142,53.90274676287162,-1.2706726197239826,3,1,1,13/07/2025,7,01:04,6,40.0,6,6,6.0,4.0,1,1,10
DEMO100143,51.511386411323436,-2.5885924506177385,3,2,3,18/12/2025,4,01:19,12,50.0,8,1,1.0,1.0,1,5,24
DEMO100144,54.97251150674413,-6.20938808361522,3,2,3,26/01/2025,7,10:40,9,30.0,2,1,1.0,2.0,2,1,30
DEMO100145,51.488957788690676,-3.0695359815128263,3,1,2,25/10/2025,6,00:39,9,70.0,3,5,,1.0,2,3,40
DEMO100146,51.623956896270435,-0.42132885351160887,2,4,4,16/07/2025,3,00:07,9,50.0,8,1,2.0,2.0,1,6,27
DEMO100147,53.45653035026854,-2.436725794300134,2,2,2,22/09/2025,1,04:40,7,30.0,9,4,5.0,2.0,1,2,1
DEMO100148,55.77533165146094,-3.1220153894225513,3,4,5,05/02/2025,3,02:11,6,30.0,7,1,1.0,2.0,1,6,3
DEMO100149,51.5833242179581,0.020680634292788352,3,3,4,14/11/2025,5,19:44,7,30.0,2,5,2.0,3.0,1,5,30
DEMO100150,51.217662737240225,-3.1562211928206145,2,2,2,05/01/2025,7,02:33,3,30.0,1,1,1.0,2.0,1,2,22
DEMO100151,53.97838399228172,-1.7922072216686988,3,1,2,27/11/2025,4,12:07,3,30.0,8,1,7.0,1.0,1,4,28
DEMO100152,54.36029557709405,-5.261676339196269,2,3,5,29/08/2025,5,16:21,1,30.0,7,7,5.0,1.0,2,4,7
DEMO100153,53.64141947972572,-1.67431641603609,2,2,4,04/05/2025,7,15:49,9,60.0,1,6,2.0,1.0,1,5,7
DEMO100154,53.23399660099857,-2.8824116025238804,2,1,2,03/01/2025,5,15:25,2,70.0,6,1,4.0,1.0,1,1,41
DEMO100155,53.492862036200314,-1.6103017027145659,3,2,4,11/08/2025,1,08:41,7,30.0,1,1,1.0,1.0,2,2,39
DEMO100156,52.28466860858398,-2.1159640502891914,2,1,1,01/02/2025,6,21:44,2,60.0,1,5,6.0,2.0,1,3,37
DEMO100157,53.04649385660384,-1.145621753679471,2,5,5,11/08/2025,1,01:01,1,30.0,9,1,4.0,2.0,1,6,16
DEMO100158,52.833534257017774,-1.2642422872255135,3,1,3,10/10/2025,5,02:55,6,40.0,7,4,1.0,5.0,2,1,2
DEMO100159,55.9322326575106,-3.16543970790673,2,4,5,08/04/2025,2,20:20,9,30.0,2,6,9.0,1.0,1,3,5
DEMO100160,54.50069290189025,-6.087521676815339,2,3,5,29/03/2025,6,01:47,3,30.0,9,1,1.0,2.0,1,2,15
DEMO100161,53.799967113230906,-1.437774326999241,3,3,4,23/03/2025,7,04:28,12,30.0,9,1,3.0,2.0,2,5,41
DEMO100162,51.15499830070143,-2.76797564309314,3,1,2,24/03/2025,1,04:34,1,50.0,9,1,1.0,6.0,1,4,12
DEMO100163,51.54262567388373,-2.32954423356302,3,4,4,11/02/2025,2,00:21,6,30.0,8,1,4.0,2.0,1,4,34
DEMO100164,53.40667449868979,-2.920103353369396,2,3,6,02/04/2025,3,02:51,2,60.0,9,4,1.0,1.0,1,5,20
DEMO100165,55.81294969815555,-3.2183936983074695,3,2,2,29/08/2025,5,13:07,3,20.0,1,1,1.0,1.0,1,1,6
DEMO100166,53.8718631320966,-1.5530542623952424,3,1,3,21/04/2025,1,15:53,1,40.0,9,7,2.0,5.0,1,1,25
DEMO100167,53.30792150395792,-2.33307331880168,3,4,4,13/10/2025,1,01:12,1,30.0,2,5,9.0,2.0,1,3,29
DEMO100168,51.26123350535303,,3,2,4,27/10/2025,1,22:52,9,30.0,0,1,1.0,2.0,1,2,31
DEMO100169,51.30101837528519,0.2316288745074723,3,5,5,05/10/2025,7,02:01,7,30.0,0,4,3.0,,1,5,11
DEMO100170,52.50103015549197,-2.027504680222692,2,4,4,16/07/2025,3,16:00,3,30.0,1,1,2.0,2.0,2,2,10
DEMO100171,52.37828006139758,-1.8519018810836647,2,1,3,26/04/2025,6,19:05,9,60.0,8,1,6.0,2.0,1,6,15
DEMO100172,55.79726857637231,-3.3725121048728752,3,4,5,06/12/2025,6,12:32,7,40.0,9,4,1.0,4.0,1,3,29
DEMO100173,55.9259395862505,-4.847457917604411,3,3,3,16/03/2025,7,11:15,3,50.0,1,1,2.0,3.0,1,6,16
DEMO100174,56.05829310937083,-4.104705520735192,3,3,3,19/06/2025,4,02:35,3,20.0,8,1,8.0,1.0,2,1,11
DEMO100175,53.153012501216296,-2.732787470371816,3,2,2,15/06/2025,7,05:49,3,30.0,8,1,1.0,1.0,1,3,28
DEMO100176,55.923765198885164,-4.1472525689339665,3,1,1,30/09/2025,2,20:01,9,40.0,0,1,2.0,1.0,1,5,21
DEMO100177,52.58047764632598,-1.3300780266097838,2,1,2,19/07/2025,6,08:31,6,20.0,8,5,6.0,1.0,1,2,33
DEMO100178,51.71086940326951,-3.265437512752882,2,2,3,19/10/2025,7,00:44,2,30.0,0,7,1.0,2.0,2,6,5
DEMO100179,52.90269981023985,-1.3730245990069239,3,2,2,02/12/2025,2,17:25,3,20.0,2,5,1.0,2.0,1,1,41
DEMO100180,54.87535779950409,-5.645955556905681,3,1,1,23/05/2025,5,16:55,3,70.0,7,7,1.0,1.0,1,2,42
DEMO100181,52.591274189517925,-1.5913531287968805,2,4,5,16/11/2025,7,01:39,3,,9,4,5.0,1.0,1,6,39
DEMO100182,53.07016676329069,-2.728044208791489,2,4,4,03/03/2025,1,01:02,7,20.0,1,1,8.0,1.0,1,2,1
DEMO100183,55.91825395563277,-4.511184879974543,2,4,5,01/12/2025,1,02:32,12,30.0,2,7,3.0,2.0,1,4,40
DEMO100184,53.40525212647626,-3.1593205525693273,2,5,5,06/03/2025,4,01:23,3,60.0,7,1,3.0,1.0,1,6,4
DEMO100185,53.58553004204378,-3.3858302835941965,3,6,6,07/11/2025,5,14:07,3,30.0,8,1,1.0,1.0,1,3,40
DEMO100186,52.69856345096327,-1.4168749163350276,3,2,2,23/05/2025,5,03:57,1,30.0,9,7,1.0,1.0,1,3,41
DEMO100187,51.27960968699885,-2.8087512988167243,3,1,3,19/12/2025,5,14:13,3,70.0,3,5,1.0,1.0,2,5,16
DEMO100188,53.64392834866928,-2.532168302508202,2,3,3,17/02/2025,1,04:05,7,60.0,8,7,1.0,1.0,1,2,44
DEMO100189,53.77754709614983,-1.574115242164126,3,2,4,19/06/2025,4,23:13,12,40.0,7,1,1.0,2.0,1,2,20
DEMO100190,55.73655182479862,-4.223635059641483,3,3,4,26/11/2025,3,17:49,9,30.0,1,6,3.0,4.0,1,2,17
DEMO100191,53.641903011327265,-1.3102019484538936,3,2,2,18/01/2025,6,08:35,2,30.0,7,1,1.0,1.0,2,4,8
DEMO100192,53.29541517085012,-1.5013637432275766,3,1,1,07/04/2025,1,10:49,9,60.0,2,1,1.0,1.0,2,6,41
DEMO100193,51.46029105425944,-2.750945960998737,3,2,3,31/01/2025,5,01:27,9,50.0,8,7,1.0,1.0,1,5,25
DEMO100194,54.58385489701059,-6.025077088031244,3,5,5,28/04/2025,1,01:07,3,30.0,2,1,1.0,1.0,2,6,18
DEMO100195,52.57885134701435,-2.0352493231181867,2,2,5,23/05/2025,5,12:23,12,20.0,2,5,1.0,1.0,1,2,18
DEMO100196,51.69203134136648,-2.253440252069522,2,3,5,14/08/2025,4,00:11,9,30.0,9,7,1.0,1.0,1,4,40
DEMO100197,52.775901826705564,-1.8919180199245256,3,5,5,05/04/2025,6,15:33,9,50.0,9,7,1.0,1.0,1,3,43
DEMO100198,51.617369647023715,-2.4355511467410667,3,6,7,27/02/2025,4,09:16,6,50.0,3,1,2.0,2.0,1,3,36
DEMO100199,54.29315579826564,-5.98032348166074,2,4,4,04/03/2025,2,03:58,3,30.0,8,1,4.0,,2,1,2
DEMO100200,51.71682731357256,-3.0263412898180047,2,3,5,09/12/2025,2,12:22,9,40.0,9,7,6.0,2.0,1,3,33
DEMO100201,51.589735397130234,-2.7847856949733027,3,1,2,14/12/2025,7,13:18,6,60.0,0,4,4.0,1.0,1,6,22
DEMO100202,53.60592124312988,-2.8522903956636987,3,4,4,22/03/2025,6,17:59,12,50.0,7,1,3.0,1.0,1,1,4
DEMO100203,55.80996281079011,-4.1587215350317,3,3,3,13/03/2025,4,04:31,3,30.0,2,1,7.0,1.0,2,3,37
DEMO100204,53.406162027106845,-3.5004925750664206,2,3,8,20/01/2025,1,13:10,3,70.0,8,1,2.0,1.0,2,1,14
